"crater.name","lat","lon","diameter","exposed"
"Acraman",-32.0166666666667,135.45,90,TRUE
"Amelia Creek",-20.9166666666667,134.833333333333,20,TRUE
"Ames",36.25,-98.2,16,FALSE
"Amguid",26.0833333333333,4.38333333333333,0.45,TRUE
"Aorounga",19.1,19.25,12.6,TRUE
"Aouelloul",20.25,-12.6833333333333,0.39,TRUE
"Araguainha",-16.7833333333333,-52.9833333333333,40,TRUE
"Avak",71.25,-156.633333333333,12,FALSE
"Barringer",35.0333333333333,-111.016666666667,1.18,TRUE
"Beaverhead",44.6,-113,60,TRUE
"Beyenchime-Salaatin",71,121.666666666667,8,TRUE
"Bigach",48.5666666666667,82.0166666666667,8,TRUE
"Boltysh",48.75,32.1666666666667,24,FALSE
"Bosumtwi",6.5,-1.41666666666667,10.5,TRUE
"Boxhole",-22.6166666666667,135.2,0.17,TRUE
"B.P. Structure",25.3166666666667,24.3333333333333,2,TRUE
"Brent",46.0833333333333,-78.4833333333333,3.8,FALSE
"Calvin",41.8333333333333,-85.95,8.5,FALSE
"Campo Del Cielo",-27.6333333333333,-61.7,0.05,TRUE
"Carancas",-16.6666666666667,-69.05,0.0135,TRUE
"Carswell",58.45,-109.5,39,TRUE
"Charlevoix",47.5333333333333,-70.3,54,TRUE
"Chesapeake Bay",37.2833333333333,-76.0166666666667,40,FALSE
"Chicxulub",21.3333333333333,-89.5,150,FALSE
"Chiyli",49.1666666666667,57.85,5.5,TRUE
"Chukcha",75.7,97.8,6,TRUE
"Clearwater East",56.0833333333333,-74.1166666666667,26,TRUE
"Clearwater West",56.2166666666667,-74.5,36,TRUE
"Cloud Creek",43.1166666666667,-106.75,7,FALSE
"Colônia",-23.8666666666667,-46.7166666666667,3.6,TRUE
"Connolly Basin",-23.5333333333333,124.75,9,TRUE
"Couture",60.1333333333333,-75.3333333333333,8,TRUE
"Crawford",-34.7166666666667,139.033333333333,8.5,TRUE
"Crooked Creek",37.8333333333333,-91.3833333333333,7,TRUE
"Dalgaranga",-27.6333333333333,117.283333333333,0.02,TRUE
"Decaturville",37.9,-92.7166666666667,6,TRUE
"Deep Bay",56.4,-102.983333333333,13,FALSE
"Dellen",61.8,16.8,19,TRUE
"Des Plaines",42.05,-87.8666666666667,8,FALSE
"Dhala",25.2833333333333,78.1333333333333,11,TRUE
"Dobele",56.5833333333333,23.25,4.5,FALSE
"Eagle Butte",49.7,-110.5,10,FALSE
"Elbow",50.9833333333333,-106.716666666667,8,FALSE
"El'gygytgyn",67.5,172.083333333333,18,TRUE
"Flaxman",-34.6166666666667,139.066666666667,10,TRUE
"Flynn Creek",36.2833333333333,-85.6666666666667,3.8,TRUE
"Foelsche",-16.6666666666667,136.783333333333,6,TRUE
"Gardnos",60.65,9,5,TRUE
"Glasford",40.6,-89.7833333333333,4,FALSE
"Glikson",-23.9833333333333,121.566666666667,19,TRUE
"Glover Bluff",43.9666666666667,-89.5333333333333,8,TRUE
"Goat Paddock",-18.3333333333333,126.666666666667,5.1,TRUE
"Gosses Bluff",-23.8166666666667,132.316666666667,22,TRUE
"Gow",56.45,-104.483333333333,5,TRUE
"Goyder",-13.4666666666667,135.033333333333,3,TRUE
"Granby",58.4166666666667,14.9333333333333,3,FALSE
"Gusev",48.4333333333333,40.5333333333333,3,FALSE
"Gweni-Fada",17.4166666666667,21.75,14,TRUE
"Haughton",75.3666666666667,-89.6833333333333,23,TRUE
"Haviland",37.5833333333333,-99.1666666666667,0.01,TRUE
"Henbury",-24.5666666666667,133.133333333333,0.15,TRUE
"Holleford",44.4666666666667,-76.6333333333333,2.35,FALSE
"Hummeln",57.3666666666667,16.25,1.2,TRUE
"Ile Rouleau",50.6833333333333,-73.8833333333333,4,TRUE
"Ilumetsä",57.9666666666667,27.4166666666667,0.08,TRUE
"Ilyinets",49.1166666666667,29.1,8.5,FALSE
"Iso-Naakkima",62.1833333333333,27.15,3,FALSE
"Jänisjärvi",61.9666666666667,30.9166666666667,14,TRUE
"Jebel Waqf as Suwwan",31.05,36.8,5.5,TRUE
"Kaalijärv",58.4,22.6666666666667,0.11,TRUE
"Kalkkop",-32.7166666666667,24.4333333333333,0.64,TRUE
"Kaluga",54.5,36.2,15,FALSE
"Kamensk",48.35,40.5,25,FALSE
"Kamil",22.0166666666667,26.0833333333333,0.045,TRUE
"Kara",69.1,64.15,65,FALSE
"Kara-Kul",39.0166666666667,73.45,52,TRUE
"Kärdla",59.0166666666667,22.7666666666667,4,FALSE
"Karikkoselkä",62.2166666666667,25.25,1.5,TRUE
"Karla",54.9166666666667,48.0333333333333,10,TRUE
"Kelly West",-19.9333333333333,133.95,10,FALSE
"Kentland",40.75,-87.4,13,TRUE
"Keurusselkä",62.1333333333333,24.6,30,TRUE
"Kgagodi",-22.4833333333333,27.5833333333333,3.5,TRUE
"Kursk",51.7,36,6,FALSE
"La Moinerie",57.4333333333333,-66.6166666666667,8,TRUE
"Lappajärvi",63.2,23.7,23,TRUE
"Lawn Hill",-18.6666666666667,138.65,18,TRUE
"Liverpool",-12.4,134.05,1.6,TRUE
"Lockne",63,14.8166666666667,7.5,TRUE
"Logancha",65.5166666666667,95.9333333333333,20,FALSE
"Logoisk",54.2,27.8,15,FALSE
"Lonar",19.9666666666667,76.5166666666667,1.83,TRUE
"Luizi",-10.1666666666667,28,17,TRUE
"Lumparn",60.15,20.1,9,FALSE
"Macha",60.1,117.583333333333,0.3,TRUE
"Målingen",62.9166666666667,14.55,1,TRUE
"Manicouagan",51.3833333333333,-68.7,85,TRUE
"Manson",42.5833333333333,-94.55,35,FALSE
"Maple Creek",49.8,-109.1,6,FALSE
"Marquez",31.2833333333333,-96.3,12.7,FALSE
"Matt Wilson",-15.5,131.183333333333,7.5,TRUE
"Middlesboro",36.6166666666667,-83.7333333333333,6,TRUE
"Mien",56.4166666666667,14.8666666666667,9,TRUE
"Mishina Gora",58.7166666666667,28.05,2.5,TRUE
"Mistastin",55.8833333333333,-63.3,28,TRUE
"Mizarai",54.0166666666667,23.9,5,FALSE
"Mjølnir",73.8,29.6666666666667,40,FALSE
"Montagnais",42.8833333333333,-64.2166666666667,45,FALSE
"Monturaqui",-23.9333333333333,-68.2833333333333,0.46,TRUE
"Morasko",52.4833333333333,16.9,0.1,TRUE
"Morokweng",-26.4666666666667,23.5333333333333,70,FALSE
"Mount Toondina",-27.95,135.366666666667,4,TRUE
"Neugrund",59.3333333333333,23.6666666666667,8,FALSE
"Newporte",48.9666666666667,-101.966666666667,3.2,FALSE
"New Quebec",61.2833333333333,-73.6666666666667,3.44,TRUE
"Nicholson",62.6666666666667,-102.683333333333,12.5,FALSE
"Oasis",24.5833333333333,24.4,18,TRUE
"Obolon'",49.5833333333333,32.9166666666667,20,FALSE
"Odessa",31.75,-102.483333333333,0.16,TRUE
"Ouarkziz",29,-7.55,3.5,TRUE
"Paasselkä",62.0333333333333,29.0833333333333,10,TRUE
"Piccaninny",-17.5333333333333,128.416666666667,7,TRUE
"Pilot",60.2833333333333,-111.016666666667,6,TRUE
"Popigai",71.65,111.183333333333,90,TRUE
"Presqu'ile",49.7166666666667,-74.8,24,TRUE
"Puchezh-Katunki",56.9666666666667,43.7166666666667,40,FALSE
"Ragozinka",58.7333333333333,61.8,9,FALSE
"Red Wing",47.6,-103.55,9,FALSE
"Riachão Ring",-7.71666666666667,-46.65,4.5,TRUE
"Ries",48.8833333333333,10.6166666666667,24,TRUE
"Rio Cuarto",-32.8666666666667,-64.2333333333333,4.5,TRUE
"Ritland",59.2333333333333,6.43333333333333,2.7,TRUE
"Rochechouart",45.8333333333333,0.933333333333333,23,TRUE
"Rock Elm",44.7166666666667,-92.2333333333333,6,FALSE
"Roter Kamm",-27.7666666666667,16.3,2.5,TRUE
"Rotmistrovka",49,32,2.7,FALSE
"Sääksjärvi",61.4,22.4,6,TRUE
"Saarijärvi",65.2833333333333,28.3833333333333,1.5,FALSE
"Saint Martin",51.7833333333333,-98.5333333333333,40,FALSE
"Santa Fe",35.75,-105.933333333333,6,FALSE
"Santa Marta",-10.1666666666667,-45.25,10,TRUE
"Serpent Mound",39.0333333333333,-83.4,8,TRUE
"Serra da Cangalha",-8.08333333333333,-46.8666666666667,12,TRUE
"Shoemaker
        (formerly Teague)",-25.8666666666667,120.883333333333,30,TRUE
"Shunak",47.2,72.7,2.8,TRUE
"Sierra Madera",30.6,-102.916666666667,13,TRUE
"Sikhote Alin",46.1166666666667,134.666666666667,0.02,TRUE
"Siljan",61.0333333333333,14.8666666666667,52,TRUE
"Slate Islands",48.6666666666667,-87,30,TRUE
"Sobolev",46.3,137.866666666667,0.05,TRUE
"Söderfjärden",63.0333333333333,21.5833333333333,6.6,FALSE
"Spider",-16.7333333333333,126.083333333333,13,TRUE
"Steen River",59.5,-117.633333333333,25,FALSE
"Steinheim",48.6833333333333,10.0666666666667,3.8,TRUE
"Strangways",-15.2,133.583333333333,25,TRUE
"Suavjärvi",63.1166666666667,33.3833333333333,16,FALSE
"Sudbury",46.6,-81.1833333333333,130,TRUE
"Suvasvesi N",62.7,28.1666666666667,4,FALSE
"Suvasvesi N",62.7,28.1666666666667,4,FALSE
"Suvasvesi S",62.6,28.2166666666667,3.8,FALSE
"Tabun-Khara-Obo",44.1166666666667,109.65,1.3,TRUE
"Talemzane",33.3166666666667,4.03333333333333,1.75,FALSE
"Tenoumer",22.9166666666667,-10.4,1.9,TRUE
"Ternovka",48.1333333333333,33.5166666666667,11,FALSE
"Tin Bider",27.6,5.11666666666667,6,TRUE
"Tookoonooka",-27.1166666666667,142.833333333333,55,FALSE
"Tswaing (formerly Pretoria Saltpan)",-25.4,28.0833333333333,1.13,TRUE
"Tunnunik (formerly Prince Albert)",72.4666666666667,-113.966666666667,25,TRUE
"Tvären",58.7666666666667,17.4166666666667,2,FALSE
"Upheaval Dome",38.4333333333333,-109.9,10,TRUE
"Vargeão Dome",-26.8333333333333,-52.1166666666667,12,TRUE
"Veevers",-22.9666666666667,125.366666666667,0.08,TRUE
"Vepriai",55.0833333333333,24.5833333333333,8,FALSE
"Viewfield",49.5833333333333,-103.066666666667,2.5,FALSE
"Vista Alegre",-25.95,-52.6833333333333,9.5,TRUE
"Vredefort",-27,27.5,160,TRUE
"Wabar",21.5,50.4666666666667,0.11,TRUE
"Wanapitei",46.75,-80.75,7.5,FALSE
"Wells Creek",36.3833333333333,-87.6666666666667,12,TRUE
"West Hawk",49.7666666666667,-95.1833333333333,2.44,FALSE
"Wetumpka",32.5166666666667,-86.1666666666667,6.5,TRUE
"Whitecourt",54,-115.6,0.04,TRUE
"Wolfe Creek",-19.1666666666667,127.8,0.87,TRUE
"Woodleigh",-26.05,114.65,40,FALSE
"Xiuyan",40.35,123.45,1.8,TRUE
"Yarrabubba",-27.1666666666667,118.833333333333,30,TRUE
"Zapadnaya",49.7333333333333,29,3.2,FALSE
"Zeleny Gai",48.0666666666667,32.75,3.5,FALSE
"Zhamanshin",48.4,60.9666666666667,14,TRUE
